search-americanairlines,$aal OR #americanairlines
search-analogdevicesinc,$adi OR #analogdevicesinc
search-adp,$adp OR #adp
search-autodesk,$adsk OR #autodesk
search-aligntechnology,$algn OR #aligntechnology
search-alexionpharmaceuticals,$alxn OR #alexionpharmaceuticals
search-appliedmaterials,$amat OR #appliedmaterials
search-asml,$asml OR #asml
search-activisionblizzard,$atvi OR #activisionblizzard
search-baidu,$bidu OR #baidu
search-biomarin,$bmrn OR #biomarin
search-cainc,$ca OR #cainc
search-cadencedesignsystems,$cdns OR #cadencedesignsystems
search-cerner,$cern OR #cerner
search-checkpointltd,$chkp OR #checkpointltd
search-csxcorporation,$csx OR #csxcorporation
search-cintascorp,$ctas OR #cintascorp
search-ctrip,$ctrp OR #ctrip
search-cognizanttechnology,$ctsh OR #cognizanttechnology
search-citrix,$ctxs OR #citrix
search-dishnetwork,$dish OR #dishnetwork
search-dollartree,$dltr OR #dollartree
search-electronicarts,$ea OR #electronicarts
search-ebay,$ebay OR #ebay
search-expressscripts,$esrx OR #expressscripts
search-expedia,$expe OR #expedia
search-fastenal,$fast OR #fastenal
search-fiserv,$fisv OR #fiserv
search-hasbro,$has OR #hasbro
search-hologic,$holx OR #hologic
search-henryschein,$hsic OR #henryschein
search-idexx,$idxx OR #idexx
search-illumina,$ilmn OR #illumina
search-incytecorp,$incy OR #incytecorp
search-intuit,$intu OR #intuit
search-intuitivesurgical,$isrg OR #intuitivesurgical
search-jbhunt,$jbht OR #jbhunt
search-jd.com,$jd OR #jd.com
search-klatencor,$klac OR #klatencor
search-libertyglobal,$lbtya OR #libertyglobal
search-libertyglobal,$lbtyk OR #libertyglobal
search-lamresearch,$lrcx OR #lamresearch
search-libertyventures,$lvnta OR #libertyventures
search-marriottinternational,$mar OR #marriottinternational
search-microchiptechnology,$mchp OR #microchiptechnology
search-mercadolibre,$meli OR #mercadolibre
search-monste beverage,$mnst OR #monste beverage
search-microntechnology,$mu OR #microntechnology
search-maximintegrated,$mxim OR #maximintegrated
search-mylan,$myl OR #mylan
search-netease,$ntes OR #netease
search-oreillyautoparts,$orly OR #oreillyautoparts
search-paychex,$payx OR #paychex
search-paccar,$pcar OR #paccar
search-libertyinteractive,$qvca OR #libertyinteractive
search-regeneron,$regn OR #regeneron
search-rossstores,$rost OR #rossstores
search-shireplc,$shpg OR #shireplc
search-siriusxm,$siri OR #siriusxm
search-synopsys,$snps OR #synopsys
search-seagate,$stx OR #seagate
search-skyworks,$swks OR #skyworks
search-symantec,$symc OR #symantec
search-tmobileus,$tmus OR #tmobileus
search-teslamotors,$tsla OR #teslamotors
search-taketwointeractive,$ttwo OR #taketwointeractive
search-ulta,$ulta OR #ulta
search-vodafone,$vod OR #vodafone
search-verisk,$vrsk OR #verisk
search-vertexpharma,$vrtx OR #vertexpharma
search-workdayinc,$wday OR #workdayinc
search-westerndigital,$wdc OR #westerndigital
search-wynnresorts,$wynn OR #wynnresorts
search-xilinx,$xlnx OR #xilinx
search-dentsply,$xray OR #dentsply
search-fedex,$fdx OR #fedex
search-monsanto,$mon OR #monsanto
search-southernco,$so OR #southernco
search-fordmotorcompany,$f OR #fordmotorcompany
search-bnymellon,$bk OR #bnymellon
search-occidentalpetroleum,$oxy OR #occidentalpetroleum
search-americantower,$amt OR #americantower
search-kindermorgan,$kmi OR #kindermorgan
search-strykercorp,$syk OR #strykercorp
search-prudential,$pru OR #prudential
search-dominionenergy,$d OR #dominionenergy
search-kimberlyclark,$kmb OR #kimberlyclark
search-illinoistoolworks,$itw OR #illinoistoolworks
search-aetna,$aet OR #aetna
search-halliburton,$hal OR #halliburton
search-raytheon,$rtn OR #raytheon
search-capitalone,$cof OR #capitalone
search-antheminc,$antm OR #antheminc
search-yahoo,$yhoo OR #yahoo
search-northropgrumman,$noc OR #northropgrumman
search-cmegroup,$cme OR #cmegroup
search-carnivalcorp,$ccl OR #carnivalcorp
search-phillips66,$psx OR #phillips66
search-publicstorage,$psa OR #publicstorage
search-bectondickinson,$bdx OR #bectondickinson
search-cigna,$ci OR #cigna
search-johnsoncontrols,$jci OR #johnsoncontrols
search-emersonelectric,$emr OR #emersonelectric
search-bbtbank,$bbt OR #bbtbank
search-hewlettpackard,$hpe OR #hewlettpackard
search-marshmclennan,$mmc OR #marshmclennan
search-lyondellbasell,$lyb OR #lyondellbasell
search-ecolab,$ecl OR #ecolab
search-norfolksouthern,$nsc OR #norfolksouthern
search-anadarkopetroleum,$apc OR #anadarkopetroleum
search-johndeere,$de OR #johndeere
search-southwestairlines,$luv OR #southwestairlines
search-generalmills,$gis OR #generalmills
search-deltairlines,$dal OR #deltairlines
search-travelersinsurance,$trv OR #travelersinsurance
search-praxair,$px OR #praxair
search-spglobal,$spgi OR #spglobal
search-pgecorp,$pcg OR #pgecorp
search-exelon,$exc OR #exelon
search-bostonscientific,$bsx OR #bostonscientific
search-crowncastle,$cci OR #crowncastle
search-pioneernaturalresources,$pxd OR #pioneernaturalresources
search-americanelectricpower,$aep OR #americanelectricpower
search-humana,$hum OR #humana
search-eatoncorp,$etn OR #eatoncorp
search-hcahealthcare,$hca OR #hcahealthcare
search-wmcares,$wm OR #wmcares
search-mckesson,$mck OR #mckesson
search-constellationbrands,$stz OR #constellationbrands
search-target,$tgt OR #target
search-statestreet,$stt OR #statestreet
search-airproducts,$apd OR #airproducts
search-aonplc,$aon OR #aonplc
search-esteelauder,$el OR #esteelauder
search-allstate,$all OR #allstate
search-valeroenergy,$vlo OR #valeroenergy
search-hewlettpackard,$hpq OR #hewlettpackard
search-suntrust,$sti OR #suntrust
search-aflacinc,$afl OR #aflacinc
search-synchronybank,$syf OR #synchronybank
search-sherwinwilliams,$shw OR #sherwinwilliams
search-sysco,$syy OR #sysco
search-cbs,$cbs OR #cbs
search-sempra,$sre OR #sempra
search-baxterinternational,$bax OR #baxterinternational
search-discoverfinancial,$dfs OR #discoverfinancial
search-fisglobal,$fis OR #fisglobal
search-equinix,$eqix OR #equinix
search-prologis,$pld OR #prologis
search-jroger,$kr OR #jroger
search-marathongas,$mpc OR #marathongas
search-teconnectivity,$tel OR #teconnectivity
search-zoetis,$zts OR #zoetis
search-kelloggs,$k OR #kelloggs
search-ppgindustries,$ppg OR #ppgindustries
search-edisoninternational,$eix OR #edisoninternational
search-corning,$glw OR #corning
search-mtbank,$mtb OR #mtbank
search-cardinalhealth,$cah OR #cardinalhealth
search-cumminsinc,$cmi OR #cumminsinc
search-archerdaniels,$adm OR #archerdaniels
search-bakerhughes,$bhi OR #bakerhughes
search-avalonbay,$avb OR #avalonbay
search-weyerhaeuser,$wy OR #weyerhaeuser
search-pplelectric,$ppl OR #pplelectric
search-welltower,$hcn OR #welltower
search-williamscompanies,$wmb OR #williamscompanies
search-franklinresources,$ben OR #franklinresources
search-zimmerbiomet,$zbh OR #zimmerbiomet
search-newellbrands,$nwl OR #newellbrands
search-conedison,$ed OR #conedison
search-hersheys,$hsy OR #hersheys
search-equityresidential,$eqr OR #equityresidential
search-devonenergy,$dvn OR #devonenergy
search-unitedairlines,$ual OR #unitedairlines
search-progressiveinsurance,$pgr OR #progressiveinsurance
search-pseg,$peg OR #pseg
search-tysonfoods,$tsn OR #tysonfoods
search-yumbrands,$yum OR #yumbrands
search-xcelenergy,$xel OR #xcelenergy
search-ventasinc,$vtr OR #ventasinc
search-vfcorp,$vfc OR #vfcorp
search-amphenol,$aph OR #amphenol
search-roperindustries,$rop OR #roperindustries
search-moodys,$mco OR #moodys
search-internationalpaper,$ip OR #internationalpaper
search-generalgrowth,$ggp OR #generalgrowth
search-republicservices,$rsg OR #republicservices
search-parkerhannifin,$ph OR #parkerhannifin
search-bostonproperties,$bxp OR #bostonproperties
search-molsoncoors,$tap OR #molsoncoors
search-ingersollrand,$ir OR #ingersollrand
search-fifththirdbank,$fitb OR #fifththirdbank
search-aptiv,$dlph OR #aptiv
search-vornadorealtytrust,$vno OR #vornadorealtytrust
search-ameriprise,$amp OR #ameriprise
search-royalcaribbean,$rcl OR #royalcaribbean
search-autozone,$azo OR #autozone
search-northertrust,$ntrs OR #northertrust
search-keybank,$key OR #keybank
search-fortive,$ftv OR #fortive
search-level3communications,$lvlt OR #level3communications
search-rockwellautomation,$rok OR #rockwellautomation
search-omnicom,$omc OR #omnicom
search-dollargeneral,$dg OR #dollargeneral
search-blackanddecker,$swk OR #blackanddecker
search-apachecorporation,$apa OR #apachecorporation
search-nucor,$nue OR #nucor
search-conchoresources,$cxo OR #conchoresources
search-citizensbank,$cfg OR #citizensbank
search-edwardslifesciences,$ew OR #edwardslifesciences
search-amerisourcebergen,$abc OR #amerisourcebergen
search-wecenergygroup,$wec OR #wecenergygroup
search-eversource,$es OR #eversource
search-hormelfoods,$hrl OR #hormelfoods
search-regionsbank,$rf OR #regionsbank
search-freeportmcmoran,$fcx OR #freeportmcmoran
search-dteenergy,$dte OR #dteenergy
search-principalfinancialgroup,$pfg OR #principalfinancialgroup
search-campbells,$cpb OR #campbells
search-thehartford,$hig OR #thehartford
search-conagra,$cag OR #conagra
search-crbard,$bcr OR #crbard
search-clorox,$clx OR #clorox
search-newmont,$nem OR #newmont
search-willistowerswatson,$wltw OR #willistowerswatson
search-troweprice,$trow OR #troweprice
search-drpepper,$dps OR #drpepper
search-digitalrealty,$dlr OR #digitalrealty
search-viacom,$viab OR #viacom
search-mohawkgroup,$mhk OR #mohawkgroup
search-agilent,$a OR #agilent
search-discoverychannel,$disca OR #discoverychannel
search-smuckers,$sjm OR #smuckers
search-meadjohnson,$mjn OR #meadjohnson
search-loewscorp,$l OR #loewscorp
search-discoverychannel,$disck OR #discoverychannel
search-nielsencompany,$nlsn OR #nielsencompany
